URL,Title,Image-source,Sub-title
content/the-colleagues-killed-in-san-jose-mass-shooting-were-like-family-official-says.html,"The colleagues killed in San Jose mass shooting were like family, official says",files/12Punkt/1 NEWSROOM/America/GunViolence/26052021SanJose4.jpg,"The death of a San Jose rail transit worker overnight makes Wednesday’s massacre at a rail yard in the California city the deadliest mass shooting in the history of the San Francisco Bay Area. More details emerged on Thursday about the shooting that claimed the lives of 10 people, including the gunman. Santa Clara county sheriff officials identified the shooter at the light rail facility for the Valley Transportation Authority as 57-year-old Samuel Cassidy, a longtime maintenance worker at the facility. Cassidy’s ex-wife said he had talked about killing people at work more than a decade ago. Cassidy shot nine of his co-workers – bus and light rail operators, mechanics, linemen and an assistant superintendent. One victim had worked for the agency since 1999."
content/71-000-americans-died-from-drug-overdoses-last-year.html,"71,000 Americans died from drug overdoses last year",files/12Punkt/7 24PLUS/Health/202007Fentanyl.jpg,"Nearly 71,000 Americans died of drug overdoses last year, a new record that predates the Covid-19 crisis, which the White House and many experts believe will drive such deaths even higher."
content/trump-responds-to-lawsuit-by-claiming-immunity-while-he-was-president.html,Trump responds to lawsuit by claiming immunity while he was President,files/12Punkt/1 NEWSROOM/America/DonaldTrump/01022021DonaldTrumpWH.jpg,"Donald Trump's attorney defended the ex-President's incendiary speech on January 6, saying he is protected under the First Amendment and had ""absolute immunity"" while he was President to contest the election, according to a court filing this week. The argument is the first time Trump has formally defended his actions in court since the insurrection, and reflects his continued push to his supporters that he did nothing wrong and was robbed of a second term in office."
content/credit-card-industry-reins-in-balance-transfer-offers.html,Credit card industry reins in balance-transfer offers,files/12Punkt/3 BUSINESS/Econ/Banken/CreditCards/202006CreditCards.jpg,Banks have pulled back from a popular credit card promotion on concerns that borrowers struggling during the coronavirus crisis may leave them with defaulting loans.
content/elise-stefanik-eventually-voted-in-as-house-republican-s-new-no-3-leader.html,Elise Stefanik eventually voted in as House Republican's new No. 3 leader,files/12Punkt/1 NEWSROOM/America/EliseStefanik/14052021EliseStefanik.jpg,"Elise Stefanik cruised to victory in a Friday vote to replace Liz Cheney as House Republicans' third-ranked leader, capping off a tumultuous month in the GOP conference sparked by its bitter divisions over Donald Trump. Stefanik won in a 134-46 secret-ballot vote, defeating her sole challenger Rep. Chip Roy of Texas — an unsurprising outcome after she aggressively campaigned for the No. 3 spot, scooping up endorsements from top party leaders and Trump."
content/north-korean-hackers-are-the-world-s-leading-bank-robbers.html,North Korean hackers are 'the world’s leading bank robbers',files/12Punkt/1 NEWSROOM/NorthKorea/17022021NorthCoreaGangsters.jpg,"Federal prosecutors on Wednesday announced charges against three North Korean government hackers accused of participating in a wide range of cyberattacks, including the destructive 2014 assault on Sony Pictures Entertainment hack, the global WannaCry ransomware attack in 2017 and a range of digital bank heists."
content/world-is-at-its-hottest-for-at-least-12-000-years.html,"World is at its hottest for at least 12,000 years",files/12Punkt/7 24PLUS/Environment/27012021ClimateChange.jpg,"The planet is hotter now than it has been for at least 12,000 years, a period spanning the entire development of human civilisation, according to research. Analysis of ocean surface temperatures shows human-driven climate change has put the world in “uncharted territory”, the scientists say. The planet may even be at its warmest for 125,000 years, although data on that far back is less certain."
content/bombshell-claim-does-britney-spears-have-dementia.html,Bombshell Claim: Does Britney Spears have dementia?,files/12Punkt/6 MAGAZINE/Music/11052021BritneySpears.jpg,"Last week, Britney Spears posted a video of herself dancing on Instagram, accompanied by an uncharacteristically long, emoji-filled caption. While the post covered an eclectic array of topics—her love of travel, her desire to install a koi pond in her backyard, her pride in her garden—it was her blunt reaction to the recent spate of documentaries about her life and controversial conservatorship that made headlines."
content/ed-henry-fired-from-fox-news-over-sexual-misconduct-allegation.html,Ed Henry fired from Fox News over sexual misconduct allegation,files/12Punkt/6 MAGAZINE/TV/202007EdHenry.jpg,"Fox News said Wednesday that Ed Henry, one of its top news anchors, had been fired after the network received a complaint last week of sexual harassment from years ago."
content/tucker-carlson-defends-actions-of-teen-charged-in-kenosha-killings.html,Tucker Carlson defends actions of teen charged in Kenosha killings,files/12Punkt/3 BUSINESS/Media/Fox/202006TuckerCarlson.jpg,"The rightwing Fox News host Tucker Carlson has defended the actions of a 17-year-old who was arrested and charged with murder after two people were killed in Kenosha, Wisconsin, as white vigilante agitators shot at Black Lives Matter protesters."
content/secretary-create-unit-to-investigate-missing-and-murdered-native-americans.html,Secretary create unit to investigate missing and murdered Native Americans,files/12Punkt/1 NEWSROOM/America/DebraHaaland/01042021DebraHaaland.jpg,"Interior Secretary Deb Haaland, the U.S.’ first Indigenous cabinet secretary, will create a unit within the Bureau of Indian Affairs to investigate missing and murdered Native Americans, the department announced Thursday evening. There are some 1,500 American Indian and Alaska natives in the National Crime Information Center’s database of missing persons, while about 2,700 murders and nonnegligent homicides have been reported to the federal Uniform Crime Reporting program."
content/showed-lawmakers-nude-photos-of-women-he-claimed-to-have-slept-with.html,Showed lawmakers nude photos of women he claimed to have slept with,files/12Punkt/1 NEWSROOM/America/MattGaetz/01042021MattGaetz2.jpg,"Rep. Matt Gaetz, the Florida Republican being investigated by the Justice Department over sex trafficking allegations, made a name for himself when he arrived on Capitol Hill as a conservative firebrand on TV and staunch defender of then-President Donald Trump. Behind the scenes, Gaetz gained a reputation in Congress over his relationships with women and bragging about his sexual escapades to his colleagues, multiple sources told CNN."
content/dwayne-johnson-i-ll-run-if-the-people-want-it.html,Dwayne Johnson: I’ll run if the people want it,files/12Punkt/6 MAGAZINE/Movies/12042021DwayneJohnson.jpg,"The professional wrestler turned star actor Dwayne “The Rock” Johnson said on Monday that he would run for US president if he felt he had enough support from Americans. Johnson, 48, one of the highest-paid and most popular actors in the United States, has been flirting with a possible White House bid for several years."
content/shawn-bradley-one-of-nba-s-tallest-ever-players-paralyzed-after-bike-accident.html,"Shawn Bradley, one of NBA's tallest ever players, paralyzed after bike accident",files/12Punkt/8 SPORT/Basketball/17032021ShwanBradley.jpg,"Shawn Bradley, who played 12 NBA seasons and was one of the league’s tallest players in history, suffered a traumatic spinal cord injury in a January bicycle accident that has left him paralyzed. Bradley, who turns 49 next week, said in a statement released through the Dallas Mavericks that he was struck from behind by an automobile while riding his bicycle on 20 January near his home in St George, Utah."
content/fauci-urges-americans-to-take-any-of-three-covid-vaccines-available-to-them.html,Fauci urges Americans to take any of three Covid vaccines available to them,files/12Punkt/7 24PLUS/Health/AnthonyFauci/28022021AnthonyFauci.jpg,"The nation’s leading infectious disease expert has urged Americans to take whatever vaccine is immediately available to them, following this weekend’s approval of the Johnson & Johnson single-dose jab as a third option in the fight against Covid-19."
content/amazon-tells-employees-to-remove-tiktok-from-their-devices-immediately.html,Amazon tells employees to remove TikTok from their devices immediately,files/12Punkt/5 COMPANIES/Unternehmen/TikTok/202007TikTok.jpg,"Amazon has instructed its employees to remove the short-video app TikTok from their devices immediately, according to a person familiar with the matter. In an email sent to employees Amazon (AMZN) said that due to ""security risks, the TikTok app is no longer permitted on mobile devices that access Amazon email."""
